merge_column,Sample,kefir type,Stage,data_source
TG_ID084_WG_T4_S132_host_removed_R1.fastq.gz,ID084,WG,T4,This study
TG_ID037_MG_T2_S161_host_removed_R1.fastq.gz,ID037,MG,T2,This study
TG_ID082_WG_T2_S344_host_removed_R1.fastq.gz,ID082,WG,T2,This study
TG_ID088_WL_T2_S346_host_removed_R2.fastq.gz,ID088,WL,T2,This study
TG_ID062_WG_T1_S128_host_removed_R1.fastq.gz,ID062,WG,T1,This study
TG_ID029_ML_T5_S147_host_removed_R1.fastq.gz,ID029,ML,T5,This study
TG_FG_T1_WL_0AE_S326_host_removed_R2.fastq.gz,FG,WL,T0,This study
TG_ID113_WG_T6_S100_host_removed_R1.fastq.gz,ID113,WG,T6,This study
TG_ID026_ML_T4_S151_host_removed_R1.fastq.gz,ID026,ML,T4,This study
TG_ID083_WL_T5_S29_host_removed_R1.fastq.gz,ID083,WL,T5,This study
TG_ID056_WG_T1_S11_host_removed_R2.fastq.gz,ID056,WG,T1,This study
TG_ID087_WL_T3_S171_host_removed_R2.fastq.gz,ID087,WL,T3,This study
TG_SK_T2_ML_0AN_S2_host_removed_R1.fastq.gz,SK,ML,T0,This study
TG_LO_MLC_S167_host_removed_R2.fastq.gz,LO,Medium control,T0,This study
TG_ID089_WG_T3_S112_host_removed_R2.fastq.gz,ID089,WG,T3,This study
TG_ID048_ML_T5_S31_host_removed_R2.fastq.gz,ID048,ML,T5,This study
TG_ID085_WG_T3_S99_host_removed_R2.fastq.gz,ID085,WG,T3,This study
TG_ID083_WL_T4_S40_host_removed_R1.fastq.gz,ID083,WL,T4,This study
TG_ID009_MG_T3_S152_host_removed_R2.fastq.gz,ID009,MG,T3,This study
TG_ID013_ML_T1_S150_host_removed_R2.fastq.gz,ID013,ML,T1,This study
TG_ID069_WG_T1_S105_host_removed_R1.fastq.gz,ID069,WG,T1,This study
TG_ID110_WL_T2_S177_host_removed_R2.fastq.gz,ID110,WL,T2,This study
TG_ID086_WL_T4_S44_host_removed_R2.fastq.gz,ID086,WL,T4,This study
TG_ID052_MG_T5_S154_host_removed_R2.fastq.gz,ID052,MG,T5,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID061_WG_T5_S133_host_removed_R2.fastq.gz,ID061,WG,T5,This study
TG_ID086_WL_T4_S44_host_removed_R2.fastq.gz,ID086,WL,T4,This study
TG_ID087_WG_T5_S18_host_removed_R1.fastq.gz,ID087,WG,T5,This study
TG_ID097_WG_T5_S68_host_removed_R2.fastq.gz,ID097,WG,T5,This study
TG_ID056_WL_T5_S95_host_removed_R2.fastq.gz,ID056,WL,T5,This study
TG_ID020_ML_T3_S143_host_removed_R2.fastq.gz,ID020,ML,T3,This study
TG_ID113_WG_T5_S19_host_removed_R2.fastq.gz,ID113,WG,T5,This study
TG_ID061_WL_T4_S38_host_removed_R1.fastq.gz,ID061,WL,T4,This study
TG_ID048_ML_T5_S31_host_removed_R1.fastq.gz,ID048,ML,T5,This study
TG_ID058_WG_T1_S352_host_removed_R2.fastq.gz,ID058,WG,T1,This study
