Class,Compound,CAS,LRI,Ref RI,Reference odour descriptor,MCc0h,MCc8h,MCc48h,4c8h,4c48h,5b8h,5b48h,7c8h,7c48h,37b8h,37b48h,40b8h,40b48h,41b8h,41b48h,42b8h,42b48h,46b8h,46b48h,49b8h,49b48h,56b8h,56b48h,57b8h,57b48h,64b8h,64b48h,65b8h,65b48h,67b8h,67b48h,68b8h,68b48h,01T0ha,18T0ha,01T2ha,18T2ha,01T4ha,18T4ha,01T8ha,18T8ha,01T16ha,18T16ha,01T48ha,18T48ha,MCT0ha
Ketone,Methyl Isobutyl Ketone,108-10-1,779,784,"sharp, solvent, green, herbal, fruity, dairy, spicy",69805,71690,73188,0,0,0,0,0,0,0,0,0,0,0,0,24328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69227
Ketone,Acetoin,513-86-0,775,778,"buttery, creamy, dairy, milky, fatty",450677,496793,526416,245749,1525204,195026,716220,85408,617472,102618,256453,89400,8291,15147,52737,29938,0,185402,84877,120904,30067,37814,137019,44648,204249,125226,330055,82979,146623,138205,555068,40919,0,215549,187053,210581,214923,190672,139525,172218,144197,98365,329231,17674,2320369,277535
Ketone,2-Hexanone,591-78-6,832,834,"floral, fruity",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51595,0,0,0,5969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ketone,2-Heptanone,110-43-0,933,936,"cheesy, fruity, spicy, herbal, woody,blue cheese, spicy",26061,31615,20700,15748,0,23919,0,19000,126298,16171,0,20527,15884,8710,0,22157,0,11277,0,22455,13792,6886,0,7039,0,34379,8586,14067,20238,29593,17289,23570,14748,30712,28451,34504,37711,30195,30815,28923,18508,11172,16824,9437,19680,47067
Ketone,4-Methyl-2-heptanone,6137-06-0,981,982,,0,0,0,0,0,0,0,19595,0,0,0,0,0,0,0,51658,0,0,0,0,0,0,0,0,0,43327,0,3654,0,0,0,0,0,0,0,0,10995,26768,0,31456,0,0,0,0,0,36733
Ketone,2-Nonanone,821-55-6,1138,1140,"malty, fruity, hot milk, smoked cheese",0,0,0,0,0,0,0,49245,388041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ketone,Acetophenone,98-86-2,1148,1030,"almond, musty, glue, orange blossom, sweet",8536,8913,10069,7016,17799,7900,3431,9576,15697,6654,16558,7722,10765,5183,12663,5938,0,7716,2760,7819,10801,4158,8571,3983,6825,6794,969,4323,9146,8093,14778,7272,25405,15240,16235,13935,15078,13817,4135,15861,4032,13913,14497,18364,12688,8249
Ketone,"2,3-Heptanedione*",96-04-8,872,,"buttery, cheesy, oily",0,0,0,230023,0,229802,0,34287,0,0,0,56900,0,176337,0,0,0,540587,0,16982,67341,95186,0,60659,0,104623,0,13108,41292,687487,0,545944,95458,0,0,18432,0,45483,0,151003,35090,751527,243332,96199,0,0
Phenol,4-Ethylguaiacol,2785-89-9,1360,,"spicy, smoky, phenolic, clove, bacon",4044,3286,3699,5142,5716,6505,4990,4094,5299,5482,6501,6969,26388,8921,58364,62451,232037,17870,49178,5750,3413,3084,1924,7378,74806,4069,2473,2135,3251,5429,4237,4552,6184,5941,6039,5989,4826,5238,4708,5127,4559,3861,5738,6291,5009,5679
Sulfur,Dimethyl disulfide,624-92-0,777,771,"sulfurous, vegetable, cabbage, onion",39111,45099,38325,18357,0,1682,0,7423,0,9297,0,6087,812,0,0,3188,0,0,0,11208,1606,2905,0,2297,0,3095,0,6665,0,12825,0,4006,0,20681,18735,20417,21147,18190,6156,13118,10800,9685,3770,1728,0,29985
Terpene,?-Pinene,80-56-8,947,950,"pine, camphoreous, earthy, woody",492,1333,1697,0,0,0,0,633,0,0,0,5857,0,0,0,2676,0,4386,0,637,0,3294,0,1447,0,3096,0,0,0,0,0,0,0,1276,678,0,0,605,2681,625,604,0,0,0,0,1240
Terpene,D-Limonene,5989-27-5,1052,1055,"fruity, citrus, orange, sweet, peely",0,0,930,0,0,34002,20046,0,0,0,0,0,0,0,0,0,0,0,0,1635,0,0,0,0,0,0,0,424,0,0,0,1375,0,0,0,0,0,0,0,0,0,0,0,80789,0,0
Terpene,(E)-Citral*,141-27-5,1342,,"citrus, lemon ",0,0,0,21305,29595,49319,18536,0,0,0,14796,6175,25510,10303,29199,11184,70747,14179,13672,0,0,6883,31257,6709,0,4059,25954,0,0,18102,0,9448,0,0,0,0,13316,0,19682,12284,46009,33777,139729,62112,494308,0
Terpene,?-Damascenone,23726-93-4,1463,1465,"apple, rose, honey, tobacco, sweet",26219,30777,60211,26151,63292,23859,32482,16897,72802,24696,57312,21536,76500,8554,50769,10391,27678,21104,23817,19288,47169,9281,31472,7913,82669,26636,28637,9409,27248,25067,75654,18160,85416,30563,29403,30562,25067,20238,22021,22751,23441,22072,26466,36141,35376,32157
